question,answer
"What is artist with values artist_id: 89, name: Incognito?","artist details are artist_id: 89, name: Incognito."
"What is artist with values artist_id: 90, name: Iron Maiden?","artist details are artist_id: 90, name: Iron Maiden."
"What is artist with values artist_id: 91, name: James Brown?","artist details are artist_id: 91, name: James Brown."
"What is artist with values artist_id: 92, name: Jamiroquai?","artist details are artist_id: 92, name: Jamiroquai."
"What is artist with values artist_id: 93, name: JET?","artist details are artist_id: 93, name: JET."
"What is artist with values artist_id: 94, name: Jimi Hendrix?","artist details are artist_id: 94, name: Jimi Hendrix."
"What is artist with values artist_id: 95, name: Joe Satriani?","artist details are artist_id: 95, name: Joe Satriani."
"What is artist with values artist_id: 96, name: Jota Quest?","artist details are artist_id: 96, name: Jota Quest."
"What is artist with values artist_id: 97, name: João Suplicy?","artist details are artist_id: 97, name: João Suplicy."
"What is artist with values artist_id: 98, name: Judas Priest?","artist details are artist_id: 98, name: Judas Priest."
"What is artist with values artist_id: 99, name: Legião Urbana?","artist details are artist_id: 99, name: Legião Urbana."
"What is artist with values artist_id: 100, name: Lenny Kravitz?","artist details are artist_id: 100, name: Lenny Kravitz."
"What is album with values album_id: 1, title: For Those About To Rock We Salute You, artist_id: 1?","album details are album_id: 1, title: For Those About To Rock We Salute You, artist_id: 1."
"What is album with values album_id: 2, title: Balls to the Wall, artist_id: 2?","album details are album_id: 2, title: Balls to the Wall, artist_id: 2."
"What is album with values album_id: 3, title: Restless and Wild, artist_id: 2?","album details are album_id: 3, title: Restless and Wild, artist_id: 2."
"What is album with values album_id: 4, title: Let There Be Rock, artist_id: 1?","album details are album_id: 4, title: Let There Be Rock, artist_id: 1."
"What is album with values album_id: 5, title: Big Ones, artist_id: 3?","album details are album_id: 5, title: Big Ones, artist_id: 3."
"What is album with values album_id: 6, title: Jagged Little Pill, artist_id: 4?","album details are album_id: 6, title: Jagged Little Pill, artist_id: 4."
"What is album with values album_id: 7, title: Facelift, artist_id: 5?","album details are album_id: 7, title: Facelift, artist_id: 5."
"What is album with values album_id: 8, title: Warner 25 Anos, artist_id: 6?","album details are album_id: 8, title: Warner 25 Anos, artist_id: 6."
"What is album with values album_id: 9, title: Plays Metallica By Four Cellos, artist_id: 7?","album details are album_id: 9, title: Plays Metallica By Four Cellos, artist_id: 7."
"What is album with values album_id: 10, title: Audioslave, artist_id: 8?","album details are album_id: 10, title: Audioslave, artist_id: 8."
"What is album with values album_id: 11, title: Out Of Exile, artist_id: 8?","album details are album_id: 11, title: Out Of Exile, artist_id: 8."
"What is album with values album_id: 12, title: BackBeat Soundtrack, artist_id: 9?","album details are album_id: 12, title: BackBeat Soundtrack, artist_id: 9."
"What is album with values album_id: 13, title: The Best Of Billy Cobham, artist_id: 10?","album details are album_id: 13, title: The Best Of Billy Cobham, artist_id: 10."
"What is album with values album_id: 14, title: Alcohol Fueled Brewtality Live! [Disc 1], artist_id: 11?","album details are album_id: 14, title: Alcohol Fueled Brewtality Live! [Disc 1], artist_id: 11."
"What is album with values album_id: 15, title: Alcohol Fueled Brewtality Live! [Disc 2], artist_id: 11?","album details are album_id: 15, title: Alcohol Fueled Brewtality Live! [Disc 2], artist_id: 11."
"What is album with values album_id: 16, title: Black Sabbath, artist_id: 12?","album details are album_id: 16, title: Black Sabbath, artist_id: 12."
"What is album with values album_id: 17, title: Black Sabbath Vol. 4 (Remaster), artist_id: 12?","album details are album_id: 17, title: Black Sabbath Vol. 4 (Remaster), artist_id: 12."
"What is album with values album_id: 18, title: Body Count, artist_id: 13?","album details are album_id: 18, title: Body Count, artist_id: 13."
"What is album with values album_id: 19, title: Chemical Wedding, artist_id: 14?","album details are album_id: 19, title: Chemical Wedding, artist_id: 14."
"What is album with values album_id: 20, title: The Best Of Buddy Guy - The Millenium Collection, artist_id: 15?","album details are album_id: 20, title: The Best Of Buddy Guy - The Millenium Collection, artist_id: 15."
"What is album with values album_id: 21, title: Prenda Minha, artist_id: 16?","album details are album_id: 21, title: Prenda Minha, artist_id: 16."
"What is album with values album_id: 22, title: Sozinho Remix Ao Vivo, artist_id: 16?","album details are album_id: 22, title: Sozinho Remix Ao Vivo, artist_id: 16."
"What is album with values album_id: 23, title: Minha Historia, artist_id: 17?","album details are album_id: 23, title: Minha Historia, artist_id: 17."
"What is album with values album_id: 24, title: Afrociberdelia, artist_id: 18?","album details are album_id: 24, title: Afrociberdelia, artist_id: 18."
"What is album with values album_id: 25, title: Da Lama Ao Caos, artist_id: 18?","album details are album_id: 25, title: Da Lama Ao Caos, artist_id: 18."
"What is album with values album_id: 26, title: Acústico MTV [Live], artist_id: 19?","album details are album_id: 26, title: Acústico MTV [Live], artist_id: 19."
"What is album with values album_id: 27, title: Cidade Negra - Hits, artist_id: 19?","album details are album_id: 27, title: Cidade Negra - Hits, artist_id: 19."
"What is album with values album_id: 28, title: Na Pista, artist_id: 20?","album details are album_id: 28, title: Na Pista, artist_id: 20."
"What is album with values album_id: 29, title: Axé Bahia 2001, artist_id: 21?","album details are album_id: 29, title: Axé Bahia 2001, artist_id: 21."
"What is album with values album_id: 30, title: BBC Sessions [Disc 1] [Live], artist_id: 22?","album details are album_id: 30, title: BBC Sessions [Disc 1] [Live], artist_id: 22."
"What is album with values album_id: 31, title: Bongo Fury, artist_id: 23?","album details are album_id: 31, title: Bongo Fury, artist_id: 23."
"What is album with values album_id: 32, title: Carnaval 2001, artist_id: 21?","album details are album_id: 32, title: Carnaval 2001, artist_id: 21."
"What is album with values album_id: 33, title: Chill: Brazil (Disc 1), artist_id: 24?","album details are album_id: 33, title: Chill: Brazil (Disc 1), artist_id: 24."
"What is album with values album_id: 34, title: Chill: Brazil (Disc 2), artist_id: 6?","album details are album_id: 34, title: Chill: Brazil (Disc 2), artist_id: 6."
"What is album with values album_id: 35, title: Garage Inc. (Disc 1), artist_id: 50?","album details are album_id: 35, title: Garage Inc. (Disc 1), artist_id: 50."
"What is album with values album_id: 36, title: Greatest Hits II, artist_id: 51?","album details are album_id: 36, title: Greatest Hits II, artist_id: 51."
"What is album with values album_id: 37, title: Greatest Kiss, artist_id: 52?","album details are album_id: 37, title: Greatest Kiss, artist_id: 52."
"What is album with values album_id: 38, title: Heart of the Night, artist_id: 53?","album details are album_id: 38, title: Heart of the Night, artist_id: 53."
"What is album with values album_id: 39, title: International Superhits, artist_id: 54?","album details are album_id: 39, title: International Superhits, artist_id: 54."
"What is album with values album_id: 40, title: Into The Light, artist_id: 55?","album details are album_id: 40, title: Into The Light, artist_id: 55."
"What is album with values album_id: 41, title: Meus Momentos, artist_id: 56?","album details are album_id: 41, title: Meus Momentos, artist_id: 56."
"What is album with values album_id: 42, title: Minha História, artist_id: 57?","album details are album_id: 42, title: Minha História, artist_id: 57."
"What is album with values album_id: 43, title: MK III The Final Concerts [Disc 1], artist_id: 58?","album details are album_id: 43, title: MK III The Final Concerts [Disc 1], artist_id: 58."
"What is album with values album_id: 44, title: Physical Graffiti [Disc 1], artist_id: 22?","album details are album_id: 44, title: Physical Graffiti [Disc 1], artist_id: 22."
"What is album with values album_id: 45, title: Sambas De Enredo 2001, artist_id: 21?","album details are album_id: 45, title: Sambas De Enredo 2001, artist_id: 21."
"What is album with values album_id: 46, title: Supernatural, artist_id: 59?","album details are album_id: 46, title: Supernatural, artist_id: 59."
"What is album with values album_id: 47, title: The Best of Ed Motta, artist_id: 37?","album details are album_id: 47, title: The Best of Ed Motta, artist_id: 37."
"What is album with values album_id: 48, title: The Essential Miles Davis [Disc 1], artist_id: 68?","album details are album_id: 48, title: The Essential Miles Davis [Disc 1], artist_id: 68."
"What is album with values album_id: 49, title: The Essential Miles Davis [Disc 2], artist_id: 68?","album details are album_id: 49, title: The Essential Miles Davis [Disc 2], artist_id: 68."
"What is album with values album_id: 50, title: The Final Concerts (Disc 2), artist_id: 58?","album details are album_id: 50, title: The Final Concerts (Disc 2), artist_id: 58."
"What is album with values album_id: 51, title: Up An' Atom, artist_id: 69?","album details are album_id: 51, title: Up An' Atom, artist_id: 69."
"What is album with values album_id: 52, title: Vinícius De Moraes - Sem Limite, artist_id: 70?","album details are album_id: 52, title: Vinícius De Moraes - Sem Limite, artist_id: 70."
"What is album with values album_id: 53, title: Vozes do MPB, artist_id: 21?","album details are album_id: 53, title: Vozes do MPB, artist_id: 21."
"What is album with values album_id: 54, title: Chronicle, Vol. 1, artist_id: 76?","album details are album_id: 54, title: Chronicle, Vol. 1, artist_id: 76."
"What is album with values album_id: 55, title: Chronicle, Vol. 2, artist_id: 76?","album details are album_id: 55, title: Chronicle, Vol. 2, artist_id: 76."
"What is album with values album_id: 56, title: Cássia Eller - Coleção Sem Limite [Disc 2], artist_id: 77?","album details are album_id: 56, title: Cássia Eller - Coleção Sem Limite [Disc 2], artist_id: 77."
"What is album with values album_id: 57, title: Cássia Eller - Sem Limite [Disc 1], artist_id: 77?","album details are album_id: 57, title: Cássia Eller - Sem Limite [Disc 1], artist_id: 77."
"What is album with values album_id: 58, title: Come Taste The Band, artist_id: 58?","album details are album_id: 58, title: Come Taste The Band, artist_id: 58."
"What is album with values album_id: 59, title: Deep Purple In Rock, artist_id: 58?","album details are album_id: 59, title: Deep Purple In Rock, artist_id: 58."
"What is album with values album_id: 60, title: Fireball, artist_id: 58?","album details are album_id: 60, title: Fireball, artist_id: 58."
"What is album with values album_id: 61, title: Knocking at Your Back Door: The Best Of Deep Purple in the 80's, artist_id: 58?","album details are album_id: 61, title: Knocking at Your Back Door: The Best Of Deep Purple in the 80's, artist_id: 58."
"What is album with values album_id: 62, title: Machine Head, artist_id: 58?","album details are album_id: 62, title: Machine Head, artist_id: 58."
"What is album with values album_id: 63, title: Purpendicular, artist_id: 58?","album details are album_id: 63, title: Purpendicular, artist_id: 58."
"What is album with values album_id: 64, title: Slaves And Masters, artist_id: 58?","album details are album_id: 64, title: Slaves And Masters, artist_id: 58."
"What is album with values album_id: 65, title: Stormbringer, artist_id: 58?","album details are album_id: 65, title: Stormbringer, artist_id: 58."
"What is album with values album_id: 66, title: The Battle Rages On, artist_id: 58?","album details are album_id: 66, title: The Battle Rages On, artist_id: 58."
"What is album with values album_id: 67, title: Vault: Def Leppard's Greatest Hits, artist_id: 78?","album details are album_id: 67, title: Vault: Def Leppard's Greatest Hits, artist_id: 78."
"What is album with values album_id: 68, title: Outbreak, artist_id: 79?","album details are album_id: 68, title: Outbreak, artist_id: 79."
"What is album with values album_id: 69, title: Djavan Ao Vivo - Vol. 02, artist_id: 80?","album details are album_id: 69, title: Djavan Ao Vivo - Vol. 02, artist_id: 80."
"What is album with values album_id: 70, title: Djavan Ao Vivo - Vol. 1, artist_id: 80?","album details are album_id: 70, title: Djavan Ao Vivo - Vol. 1, artist_id: 80."
"What is album with values album_id: 71, title: Elis Regina-Minha História, artist_id: 41?","album details are album_id: 71, title: Elis Regina-Minha História, artist_id: 41."
"What is album with values album_id: 72, title: The Cream Of Clapton, artist_id: 81?","album details are album_id: 72, title: The Cream Of Clapton, artist_id: 81."
"What is album with values album_id: 73, title: Unplugged, artist_id: 81?","album details are album_id: 73, title: Unplugged, artist_id: 81."
"What is album with values album_id: 74, title: Album Of The Year, artist_id: 82?","album details are album_id: 74, title: Album Of The Year, artist_id: 82."
"What is album with values album_id: 75, title: Angel Dust, artist_id: 82?","album details are album_id: 75, title: Angel Dust, artist_id: 82."
"What is album with values album_id: 76, title: King For A Day Fool For A Lifetime, artist_id: 82?","album details are album_id: 76, title: King For A Day Fool For A Lifetime, artist_id: 82."
"What is album with values album_id: 77, title: The Real Thing, artist_id: 82?","album details are album_id: 77, title: The Real Thing, artist_id: 82."
"What is album with values album_id: 78, title: Deixa Entrar, artist_id: 83?","album details are album_id: 78, title: Deixa Entrar, artist_id: 83."
"What is album with values album_id: 79, title: In Your Honor [Disc 1], artist_id: 84?","album details are album_id: 79, title: In Your Honor [Disc 1], artist_id: 84."
"What is album with values album_id: 80, title: In Your Honor [Disc 2], artist_id: 84?","album details are album_id: 80, title: In Your Honor [Disc 2], artist_id: 84."
"What is album with values album_id: 81, title: One By One, artist_id: 84?","album details are album_id: 81, title: One By One, artist_id: 84."
"What is album with values album_id: 82, title: The Colour And The Shape, artist_id: 84?","album details are album_id: 82, title: The Colour And The Shape, artist_id: 84."
"What is album with values album_id: 83, title: My Way: The Best Of Frank Sinatra [Disc 1], artist_id: 85?","album details are album_id: 83, title: My Way: The Best Of Frank Sinatra [Disc 1], artist_id: 85."
"What is album with values album_id: 84, title: Roda De Funk, artist_id: 86?","album details are album_id: 84, title: Roda De Funk, artist_id: 86."
"What is album with values album_id: 85, title: As Canções de Eu Tu Eles, artist_id: 27?","album details are album_id: 85, title: As Canções de Eu Tu Eles, artist_id: 27."
"What is album with values album_id: 86, title: Quanta Gente Veio Ver (Live), artist_id: 27?","album details are album_id: 86, title: Quanta Gente Veio Ver (Live), artist_id: 27."
"What is album with values album_id: 87, title: Quanta Gente Veio ver--Bônus De Carnaval, artist_id: 27?","album details are album_id: 87, title: Quanta Gente Veio ver--Bônus De Carnaval, artist_id: 27."
"What is album with values album_id: 88, title: Faceless, artist_id: 87?","album details are album_id: 88, title: Faceless, artist_id: 87."
"What is album with values album_id: 89, title: American Idiot, artist_id: 54?","album details are album_id: 89, title: American Idiot, artist_id: 54."
"What is album with values album_id: 90, title: Appetite for Destruction, artist_id: 88?","album details are album_id: 90, title: Appetite for Destruction, artist_id: 88."
"What is album with values album_id: 91, title: Use Your Illusion I, artist_id: 88?","album details are album_id: 91, title: Use Your Illusion I, artist_id: 88."
"What is album with values album_id: 92, title: Use Your Illusion II, artist_id: 88?","album details are album_id: 92, title: Use Your Illusion II, artist_id: 88."
"What is album with values album_id: 93, title: Blue Moods, artist_id: 89?","album details are album_id: 93, title: Blue Moods, artist_id: 89."
"What is album with values album_id: 94, title: A Matter of Life and Death, artist_id: 90?","album details are album_id: 94, title: A Matter of Life and Death, artist_id: 90."
"What is album with values album_id: 95, title: A Real Dead One, artist_id: 90?","album details are album_id: 95, title: A Real Dead One, artist_id: 90."
"What is album with values album_id: 96, title: A Real Live One, artist_id: 90?","album details are album_id: 96, title: A Real Live One, artist_id: 90."
"What is album with values album_id: 97, title: Brave New World, artist_id: 90?","album details are album_id: 97, title: Brave New World, artist_id: 90."
"What is album with values album_id: 98, title: Dance Of Death, artist_id: 90?","album details are album_id: 98, title: Dance Of Death, artist_id: 90."
"What is album with values album_id: 99, title: Fear Of The Dark, artist_id: 90?","album details are album_id: 99, title: Fear Of The Dark, artist_id: 90."
"What is album with values album_id: 100, title: Iron Maiden, artist_id: 90?","album details are album_id: 100, title: Iron Maiden, artist_id: 90."
"What is employee with values employee_id: 1, last_name: Adams, first_name: Andrew, title: General Manager, reports_to: nan, birth_date: 1962-02-18 00:00:00, hire_date: 2002-08-14 00:00:00, address: 11120 Jasper Ave NW, city: Edmonton, state: AB, country: Canada, postal_code: T5K 2N1, phone: +1 (780) 428-9482, fax: +1 (780) 428-3457, email: andrew@chinookcorp.com?","employee details are employee_id: 1, last_name: Adams, first_name: Andrew, title: General Manager, reports_to: nan, birth_date: 1962-02-18 00:00:00, hire_date: 2002-08-14 00:00:00, address: 11120 Jasper Ave NW, city: Edmonton, state: AB, country: Canada, postal_code: T5K 2N1, phone: +1 (780) 428-9482, fax: +1 (780) 428-3457, email: andrew@chinookcorp.com."
"What is employee with values employee_id: 2, last_name: Edwards, first_name: Nancy, title: Sales Manager, reports_to: 1.0, birth_date: 1958-12-08 00:00:00, hire_date: 2002-05-01 00:00:00, address: 825 8 Ave SW, city: Calgary, state: AB, country: Canada, postal_code: T2P 2T3, phone: +1 (403) 262-3443, fax: +1 (403) 262-3322, email: nancy@chinookcorp.com?","employee details are employee_id: 2, last_name: Edwards, first_name: Nancy, title: Sales Manager, reports_to: 1.0, birth_date: 1958-12-08 00:00:00, hire_date: 2002-05-01 00:00:00, address: 825 8 Ave SW, city: Calgary, state: AB, country: Canada, postal_code: T2P 2T3, phone: +1 (403) 262-3443, fax: +1 (403) 262-3322, email: nancy@chinookcorp.com."
"What is employee with values employee_id: 3, last_name: Peacock, first_name: Jane, title: Sales Support Agent, reports_to: 2.0, birth_date: 1973-08-29 00:00:00, hire_date: 2002-04-01 00:00:00, address: 1111 6 Ave SW, city: Calgary, state: AB, country: Canada, postal_code: T2P 5M5, phone: +1 (403) 262-3443, fax: +1 (403) 262-6712, email: jane@chinookcorp.com?","employee details are employee_id: 3, last_name: Peacock, first_name: Jane, title: Sales Support Agent, reports_to: 2.0, birth_date: 1973-08-29 00:00:00, hire_date: 2002-04-01 00:00:00, address: 1111 6 Ave SW, city: Calgary, state: AB, country: Canada, postal_code: T2P 5M5, phone: +1 (403) 262-3443, fax: +1 (403) 262-6712, email: jane@chinookcorp.com."
"What is employee with values employee_id: 4, last_name: Park, first_name: Margaret, title: Sales Support Agent, reports_to: 2.0, birth_date: 1947-09-19 00:00:00, hire_date: 2003-05-03 00:00:00, address: 683 10 Street SW, city: Calgary, state: AB, country: Canada, postal_code: T2P 5G3, phone: +1 (403) 263-4423, fax: +1 (403) 263-4289, email: margaret@chinookcorp.com?","employee details are employee_id: 4, last_name: Park, first_name: Margaret, title: Sales Support Agent, reports_to: 2.0, birth_date: 1947-09-19 00:00:00, hire_date: 2003-05-03 00:00:00, address: 683 10 Street SW, city: Calgary, state: AB, country: Canada, postal_code: T2P 5G3, phone: +1 (403) 263-4423, fax: +1 (403) 263-4289, email: margaret@chinookcorp.com."
"What is employee with values employee_id: 5, last_name: Johnson, first_name: Steve, title: Sales Support Agent, reports_to: 2.0, birth_date: 1965-03-03 00:00:00, hire_date: 2003-10-17 00:00:00, address: 7727B 41 Ave, city: Calgary, state: AB, country: Canada, postal_code: T3B 1Y7, phone: 1 (780) 836-9987, fax: 1 (780) 836-9543, email: steve@chinookcorp.com?","employee details are employee_id: 5, last_name: Johnson, first_name: Steve, title: Sales Support Agent, reports_to: 2.0, birth_date: 1965-03-03 00:00:00, hire_date: 2003-10-17 00:00:00, address: 7727B 41 Ave, city: Calgary, state: AB, country: Canada, postal_code: T3B 1Y7, phone: 1 (780) 836-9987, fax: 1 (780) 836-9543, email: steve@chinookcorp.com."
